Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0,-0.127015,-0.0851095,0.0419057,0.12247,-0.0975265,-0.0249437
0.005,-0.120625,-0.0841192,0.0365056,0.118209,-0.0907192,-0.0274897
0.01,-0.11273,-0.0837868,0.0289431,0.113459,-0.0817949,-0.031664
0.015,-0.105772,-0.0833081,0.022464,0.109165,-0.0740371,-0.0351284
0.02,-0.101148,-0.0817776,0.0193701,0.105612,-0.069581,-0.036031
0.025,-0.0967514,-0.0783577,0.0183937,0.101099,-0.066479,-0.0346202
0.03,-0.0910354,-0.0735666,0.0174687,0.095033,-0.0626448,-0.0323881
0.035,-0.0868176,-0.0685358,0.0182818,0.0896933,-0.0606791,-0.0290142
0.04,-0.0867499,-0.0634114,0.0233385,0.0866957,-0.0635596,-0.0231361
0.045,-0.0902429,-0.0571365,0.0331064,0.0850895,-0.0712157,-0.0138738
0.05,-0.0951243,-0.0486887,0.0464356,0.0830304,-0.0817297,-0.00130079
0.055,-0.0973918,-0.0387998,0.058592,0.0786302,-0.0900573,0.0114271
0.06,-0.0936639,-0.0299894,0.0636745,0.0713913,-0.0908393,0.0194481
0.065,-0.0847321,-0.0244531,0.060279,0.0630381,-0.0837221,0.0206841
0.07,-0.0729259,-0.022453,0.0504729,0.055067,-0.0712443,0.0161773
0.075,-0.061883,-0.0219904,0.0398926,0.0484243,-0.0587601,0.0103359
0.08,-0.0560318,-0.0199077,0.0361241,0.0438437,-0.0532063,0.00936257
0.085,-0.0551149,-0.0144711,0.0406437,0.0401755,-0.0552862,0.0151107
0.09,-0.0549006,-0.00636672,0.0485339,0.0353727,-0.0597179,0.0243452
0.095,-0.0521367,0.00203298,0.0541696,0.0289274,-0.0613759,0.0324486
0.1,-0.0456685,0.00957869,0.0552472,0.0208365,-0.0582637,0.0374272
0.105,-0.0359682,0.0169687,0.0529369,0.0109694,-0.0513293,0.04036
0.11,-0.0241177,0.0238842,0.0480019,0.000134815,-0.0416383,0.0415035
0.115,-0.0123642,0.0285299,0.0408941,-0.00933329,-0.0307487,0.040082
0.12,-0.00456029,0.0303115,0.0348718,-0.0148674,-0.0227661,0.0376335
