Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0,-0.0712184,0.712233,0.783451,-0.37009,-0.493444,0.863533
0.005,-0.0670427,0.717697,0.784739,-0.375655,-0.491776,0.867432
0.01,-0.062872,0.722409,0.785281,-0.380784,-0.489681,0.870465
0.015,-0.0595731,0.724947,0.78452,-0.384153,-0.487337,0.87149
0.02,-0.0565716,0.72565,0.782222,-0.386293,-0.484278,0.87057
0.025,-0.0527546,0.726478,0.779232,-0.388974,-0.480348,0.869322
0.03,-0.0483521,0.728221,0.776573,-0.392522,-0.476271,0.868793
0.035,-0.0439878,0.73099,0.774978,-0.396641,-0.47283,0.86947
0.04,-0.0393226,0.735491,0.774814,-0.401933,-0.470042,0.871975
0.045,-0.0334651,0.742141,0.775606,-0.409154,-0.467117,0.876271
0.05,-0.0267325,0.750293,0.777026,-0.417748,-0.46405,0.881797
0.055,-0.0200332,0.758596,0.778629,-0.426409,-0.461107,0.887517
0.06,-0.013178,0.765394,0.778572,-0.434292,-0.457117,0.891409
0.065,-0.0064083,0.771286,0.777694,-0.441602,-0.452701,0.894303
0.07,-0.000557911,0.77841,0.778968,-0.449093,-0.450059,0.899152
0.075,0.00484852,0.78709,0.782242,-0.457226,-0.448828,0.906054
0.08,0.0110648,0.796062,0.784998,-0.465995,-0.44683,0.912825
0.085,0.0186258,0.804675,0.786049,-0.475333,-0.443072,0.918405
0.09,0.0278942,0.81296,0.785066,-0.485467,-0.437153,0.922621
0.095,0.0387761,0.820619,0.781843,-0.496172,-0.42901,0.925182
0.1,0.0494244,0.827547,0.778122,-0.506319,-0.420714,0.927033
0.105,0.0578472,0.833257,0.77541,-0.514479,-0.414285,0.928764
0.11,0.0632851,0.837281,0.773995,-0.519942,-0.410329,0.93027
0.115,0.0656928,0.840055,0.774362,-0.522933,-0.40915,0.932084
0.12,0.0660643,0.841712,0.775647,-0.524104,-0.409678,0.933782
0.125,0.0660436,0.842136,0.776093,-0.524338,-0.409947,0.934284
0.13,0.0663246,0.841966,0.775641,-0.524401,-0.409524,0.933925
0.135,0.0665336,0.841681,0.775147,-0.524358,-0.409118,0.933476
0.14,0.0656369,0.841784,0.776148,-0.5239,-0.410213,0.934113
0.145,0.0628575,0.843198,0.780341,-0.523111,-0.414239,0.93735
0.15,0.0579182,0.847375,0.789456,-0.522671,-0.422354,0.945024
0.155,0.0503098,0.854376,0.804066,-0.52232,-0.435181,0.957501
0.16,0.0397941,0.86151,0.821716,-0.520368,-0.451442,0.97181
0.165,0.0268897,0.865923,0.839033,-0.515465,-0.468891,0.984357
0.17,0.0120819,0.867241,0.85516,-0.507677,-0.486751,0.994428
0.175,-0.00427127,0.867372,0.871644,-0.498311,-0.505709,1.00402
0.18,-0.0213027,0.867586,0.888889,-0.488602,-0.525499,1.0141
0.185,-0.0375133,0.868249,0.905762,-0.479625,-0.5446,1.02423
0.19,-0.0515764,0.868616,0.920193,-0.471718,-0.561051,1.03277
0.195,-0.0629236,0.867483,0.930406,-0.464512,-0.573499,1.03801
0.2,-0.0710102,0.865537,0.936547,-0.45872,-0.581713,1.04043
0.205,-0.0754042,0.864345,0.93975,-0.455495,-0.586099,1.04159
0.21,-0.0771764,0.864878,0.942055,-0.45478,-0.588453,1.04323
0.215,-0.0785303,0.86613,0.94466,-0.454721,-0.590739,1.04546
0.22,-0.0811485,0.866428,0.947577,-0.453381,-0.593934,1.04732
0.225,-0.0850177,0.865612,0.95063,-0.450676,-0.597931,1.04861
0.23,-0.0890918,0.865634,0.954726,-0.448337,-0.602648,1.05098
0.235,-0.0918696,0.868506,0.960375,-0.448391,-0.607513,1.0559
0.24,-0.092179,0.874115,0.966294,-0.451451,-0.611109,1.06256
0.245,-0.0902583,0.881338,0.971596,-0.45673,-0.613062,1.06979
0.25,-0.087058,0.88929,0.976348,-0.463169,-0.613957,1.07713
0.255,-0.0834348,0.896171,0.979606,-0.469233,-0.613747,1.08298
0.26,-0.0808691,0.900412,0.981281,-0.473163,-0.613232,1.0864
0.265,-0.080341,0.903244,0.983585,-0.475103,-0.614258,1.08936
0.27,-0.0814236,0.906393,0.987817,-0.476296,-0.617326,1.09362
0.275,-0.0831143,0.909563,0.992677,-0.47715,-0.621108,1.09826
0.28,-0.0842087,0.911476,0.995685,-0.477623,-0.623477,1.1011
0.285,-0.0837462,0.912288,0.996034,-0.478359,-0.623411,1.10177
0.29,-0.0820827,0.911622,0.993704,-0.478934,-0.621106,1.10004
0.295,-0.0805049,0.910054,0.990559,-0.47894,-0.618379,1.09732
0.3,-0.0800337,0.909854,0.989887,-0.479097,-0.617719,1.09682
0.305,-0.0804918,0.911784,0.992275,-0.479946,-0.619362,1.09931
0.31,-0.0807349,0.914978,0.995712,-0.48165,-0.621487,1.10314
0.315,-0.0801506,0.917661,0.997812,-0.483537,-0.622361,1.1059
0.32,-0.0783815,0.918997,0.997379,-0.48533,-0.62109,1.10642
0.325,-0.0757003,0.919284,0.994985,-0.487043,-0.61816,1.1052
0.33,-0.0728211,0.918641,0.991462,-0.488334,-0.614464,1.1028
0.335,-0.0705383,0.916968,0.987507,-0.488686,-0.610862,1.09955
0.34,-0.0700329,0.915093,0.985126,-0.487895,-0.609196,1.09709
0.345,-0.0722536,0.913999,0.986253,-0.485982,-0.611129,1.09711
0.35,-0.0762775,0.9138,0.990078,-0.483544,-0.61566,1.0992
0.355,-0.0787683,0.914339,0.993107,-0.482417,-0.618847,1.10126
0.36,-0.0778127,0.914456,0.992269,-0.483036,-0.617812,1.10085
0.365,-0.0753575,0.913453,0.98881,-0.483874,-0.614397,1.09827
0.37,-0.0745389,0.911247,0.985786,-0.483074,-0.612179,1.09525
0.375,-0.0765815,0.908072,0.984653,-0.480061,-0.612704,1.09276
0.38,-0.0806424,0.904653,0.985295,-0.475742,-0.615419,1.09116
0.385,-0.0852873,0.902138,0.987425,-0.471609,-0.61933,1.09094
0.39,-0.088952,0.900683,0.989635,-0.468653,-0.622722,1.09137
0.395,-0.0901774,0.89958,0.989757,-0.467309,-0.6235,1.09081
0.4,-0.0884172,0.899758,0.988175,-0.468428,-0.62157,1.09
0.405,-0.0854582,0.901643,0.987101,-0.471224,-0.619242,1.09047
0.41,-0.0834604,0.903353,0.986814,-0.473365,-0.617923,1.09129
0.415,-0.0827769,0.904052,0.986829,-0.474163,-0.617537,1.0917
0.42,-0.0824877,0.904644,0.987132,-0.474672,-0.617545,1.09222
0.425,-0.081613,0.90547,0.987083,-0.475654,-0.617012,1.09267
0.43,-0.0804088,0.907194,0.987603,-0.477345,-0.616616,1.09396
0.435,-0.0799365,0.91181,0.991746,-0.480282,-0.618736,1.09902
0.44,-0.0806174,0.921001,1.00162,-0.485196,-0.624829,1.11002
0.445,-0.0820335,0.934362,1.0164,-0.492092,-0.634178,1.12627
0.45,-0.0832467,0.949899,1.03315,-0.500362,-0.644549,1.14491
0.455,-0.0832219,0.965454,1.04868,-0.509357,-0.653501,1.16286
0.46,-0.0817741,0.980204,1.06198,-0.518709,-0.660345,1.17905
0.465,-0.0796197,0.994415,1.07403,-0.528157,-0.666062,1.19422
0.47,-0.077201,1.00878,1.08598,-0.537847,-0.671563,1.20941
0.475,-0.0752663,1.02383,1.0991,-0.547656,-0.678021,1.22568
0.48,-0.0747774,1.03981,1.11459,-0.55716,-0.686679,1.24384
0.485,-0.0757803,1.05605,1.13183,-0.565956,-0.697211,1.26317
0.49,-0.0770956,1.07075,1.14785,-0.573688,-0.707221,1.28091
0.495,-0.0768904,1.08196,1.15885,-0.580278,-0.713456,1.29373
0.5,-0.0742123,1.08685,1.16106,-0.584647,-0.713186,1.29783
0.505,-0.0689139,1.08196,1.15087,-0.58488,-0.704242,1.28912
0.51,-0.062661,1.0655,1.12816,-0.578989,-0.687521,1.26651
0.515,-0.0592388,1.03967,1.09891,-0.566053,-0.668658,1.23471
0.52,-0.0607129,1.00924,1.06996,-0.547633,-0.652791,1.20042
0.525,-0.0661315,0.978858,1.04499,-0.526963,-0.641506,1.16847
0.53,-0.0726465,0.952281,1.02493,-0.507857,-0.633684,1.14154
0.535,-0.0777552,0.931998,1.00975,-0.493197,-0.627873,1.12107
0.54,-0.0810573,0.917999,0.999056,-0.483208,-0.623604,1.10681
0.545,-0.0832222,0.907941,0.991163,-0.476151,-0.620296,1.09645
0.55,-0.0846379,0.89999,0.984628,-0.470744,-0.617341,1.08808
0.555,-0.0855523,0.894308,0.97986,-0.466935,-0.615116,1.08205
0.56,-0.0855877,0.891135,0.976723,-0.465083,-0.613325,1.07841
