Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
0,-0.26398,0.106385,0.370365,0.0909874,-0.366239,0.275252
0.005,-0.235597,0.160526,0.396124,0.0433424,-0.364724,0.321382
0.01,-0.209277,0.262737,0.472014,-0.0308648,-0.393344,0.424208
0.015,-0.198048,0.423753,0.621802,-0.130311,-0.47334,0.603651
0.02,-0.209944,0.638435,0.848379,-0.247389,-0.611023,0.858412
0.025,-0.247284,0.86919,1.11647,-0.359058,-0.787366,1.14642
0.03,-0.306348,1.04304,1.34939,-0.425331,-0.95594,1.38127
0.035,-0.37731,1.09224,1.46955,-0.412766,-1.06629,1.47905
0.04,-0.445718,1.00361,1.44932,-0.322097,-1.0941,1.4162
0.045,-0.495691,0.825314,1.321,-0.190307,-1.04887,1.23918
0.05,-0.51564,0.626888,1.14253,-0.0642294,-0.957343,1.02157
0.055,-0.503144,0.458278,0.961422,0.025903,-0.845567,0.819664
0.06,-0.466012,0.337767,0.803778,0.0740423,-0.733113,0.659071
0.065,-0.417254,0.260977,0.67823,0.0902263,-0.632478,0.542251
0.07,-0.369047,0.214773,0.58382,0.0890698,-0.550138,0.461068
0.075,-0.329256,0.186238,0.515494,0.0825712,-0.487716,0.405145
0.08,-0.300705,0.167156,0.467861,0.0771043,-0.443732,0.366628
0.085,-0.282587,0.152876,0.435464,0.0748885,-0.414567,0.339678
0.09,-0.272275,0.141284,0.413558,0.0756274,-0.395966,0.320338
0.095,-0.26664,0.133065,0.399705,0.0771193,-0.384715,0.307595
0.1,-0.263235,0.128565,0.3918,0.0777519,-0.378185,0.300433
0.105,-0.260514,0.125532,0.386046,0.0779316,-0.373292,0.29536
0.11,-0.2578,0.121498,0.379298,0.078694,-0.367828,0.289134
0.115,-0.254967,0.118758,0.373725,0.0786403,-0.362976,0.284335
0.12,-0.252023,0.120785,0.372807,0.0757701,-0.360746,0.284976
0.125,-0.248933,0.127518,0.376452,0.0700991,-0.361066,0.290967
0.13,-0.245903,0.136262,0.382165,0.063301,-0.362615,0.299314
0.135,-0.243248,0.144619,0.387867,0.0569433,-0.364374,0.307431
0.14,-0.241111,0.150533,0.391645,0.0522952,-0.365322,0.313027
0.145,-0.239125,0.154259,0.393384,0.0489975,-0.365179,0.316181
0.15,-0.236813,0.157727,0.394541,0.0456602,-0.364512,0.318852
0.155,-0.234034,0.162185,0.396219,0.041482,-0.363876,0.322394
0.16,-0.230962,0.167362,0.398323,0.0367195,-0.363317,0.326598
0.165,-0.227699,0.172364,0.400063,0.031948,-0.362438,0.33049
0.17,-0.22422,0.177132,0.401352,0.0271866,-0.361174,0.333988
0.175,-0.220522,0.181717,0.402239,0.0224039,-0.359551,0.337147
0.18,-0.216228,0.18668,0.402908,0.0170598,-0.357459,0.340399
0.185,-0.211188,0.193387,0.404575,0.0102775,-0.355511,0.345233
0.19,-0.206045,0.201364,0.40741,0.0027025,-0.354178,0.351476
0.195,-0.200993,0.208918,0.409911,-0.00457572,-0.352705,0.357281
0.2,-0.195327,0.216256,0.411584,-0.0120833,-0.3504,0.362483
0.205,-0.188901,0.224209,0.41311,-0.0203852,-0.347571,0.367956
0.21,-0.182314,0.232384,0.414698,-0.0289076,-0.344685,0.373592
